workerid,proliferate.condition,accuracy,coding,failed_audio,failed_images,failed_video,internal_node_id,lex_code,question_order,response,result,rt,sib_code,slider_start,spk,stimulus,success,time_elapsed,timeout,trial_index,trial_type,triplet_id,error
562,list1,,,,,,0.0-6.0-1.13,,,,,,,,,,,117356,,33,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.14,neutral,,2596,,5915,high,5000,246,audio/246_SN9_high.wav,,123271,,34,audio-slider-response,9,
562,list1,,,,,,0.0-6.0-1.14,,,,,,,,,,,123772,,35,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.15,neutral,,7383,,3895,high,5000,340,audio/340_SN20_high.wav,,127669,,36,audio-slider-response,20,
562,list1,,,,,,0.0-6.0-1.15,,,,,,,,,,,128170,,37,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.16,neutral,,2270,,3872,low,5000,246,audio/246_SN8_low.wav,,132044,,38,audio-slider-response,8,
562,list1,,,,,,0.0-6.0-1.16,,,,,,,,,,,132546,,39,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.17,neutral,,1282,,3251,low,5000,246,audio/246_SN3_low.wav,,135796,,40,audio-slider-response,3,
562,list1,,,,,,0.0-6.0-1.17,,,,,,,,,,,136297,,41,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.18,neutral,,8333,,3622,low,5000,340,audio/340_SN13_low.wav,,139919,,42,audio-slider-response,13,
562,list1,,,,,,0.0-6.0-1.18,,,,,,,,,,,140420,,43,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.19,neutral,,8212,,3181,high,5000,723,audio/723_SN15_high.wav,,143598,,44,audio-slider-response,15,
562,list1,,,,,,0.0-6.0-1.19,,,,,,,,,,,144099,,45,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.20,neutral,,6843,,4412,control,5000,340,audio/340_CN20.wav,,148510,,46,audio-slider-response,20,
562,list1,,,,,,0.0-6.0-1.20,,,,,,,,,,,149012,,47,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.21,neutral,,7199,,3158,low,5000,340,audio/340_SN14_low.wav,,152170,,48,audio-slider-response,14,
562,list1,,,,,,0.0-6.0-1.21,,,,,,,,,,,152672,,49,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.22,neutral,,7251,,4371,low,5000,340,audio/340_SN1_low.wav,,157046,,50,audio-slider-response,1,
562,list1,,,,,,0.0-6.0-1.22,,,,,,,,,,,157548,,51,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.23,neutral,,1574,,3500,mid,5000,246,audio/246_SN4_mid.wav,,161048,,52,audio-slider-response,4,
562,list1,,,,,,0.0-6.0-1.23,,,,,,,,,,,161550,,53,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.24,neutral,,2322,,4127,control,5000,246,audio/246_CN10.wav,,165677,,54,audio-slider-response,10,
562,list1,,,,,,0.0-6.0-1.24,,,,,,,,,,,166178,,55,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.25,neutral,,7275,,3245,control,5000,340,audio/340_CN14.wav,,169425,,56,audio-slider-response,14,
562,list1,,,,,,0.0-6.0-1.25,,,,,,,,,,,169926,,57,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.26,neutral,,6065,,4093,mid,5000,340,audio/340_SN2_mid.wav,,174021,,58,audio-slider-response,2,
562,list1,,,,,,0.0-6.0-1.26,,,,,,,,,,,174522,,59,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.27,neutral,,7099,,3437,low,5000,723,audio/723_SN1_low.wav,,177961,,60,audio-slider-response,1,
562,list1,,,,,,0.0-6.0-1.27,,,,,,,,,,,178462,,61,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.28,neutral,,2473,,5567,control,5000,246,audio/246_CN7.wav,,184034,,62,audio-slider-response,7,
562,list1,,,,,,0.0-6.0-1.28,,,,,,,,,,,184536,,63,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.29,neutral,,2032,,4267,control,5000,246,audio/246_CN1.wav,,188804,,64,audio-slider-response,1,
562,list1,,,,,,0.0-6.0-1.29,,,,,,,,,,,189305,,65,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.30,neutral,,6990,,3245,control,5000,340,audio/340_CN2.wav,,192555,,66,audio-slider-response,2,
562,list1,,,,,,0.0-6.0-1.30,,,,,,,,,,,193057,,67,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.31,neutral,,6327,,2786,high,5000,340,audio/340_SN18_high.wav,,195849,,68,audio-slider-response,18,
562,list1,,,,,,0.0-6.0-1.31,,,,,,,,,,,196350,,69,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.32,neutral,,3503,,3471,low,5000,246,audio/246_SN14_low.wav,,199825,,70,audio-slider-response,14,
562,list1,,,,,,0.0-6.0-1.32,,,,,,,,,,,200327,,71,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.33,neutral,,7453,,4360,low,5000,340,audio/340_SN8_low.wav,,204688,,72,audio-slider-response,8,
562,list1,,,,,,0.0-6.0-1.33,,,,,,,,,,,205189,,73,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.34,neutral,,4705,,4563,high,5000,340,audio/340_SN15_high.wav,,209758,,74,audio-slider-response,15,
562,list1,,,,,,0.0-6.0-1.34,,,,,,,,,,,210260,,75,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.35,neutral,,6005,,4127,mid,5000,340,audio/340_SN10_mid.wav,,214390,,76,audio-slider-response,10,
562,list1,,,,,,0.0-6.0-1.35,,,,,,,,,,,214892,,77,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.36,neutral,,5998,,3129,mid,5000,340,audio/340_SN17_mid.wav,,218024,,78,audio-slider-response,17,
562,list1,,,,,,0.0-6.0-1.36,,,,,,,,,,,218525,,79,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.37,neutral,,7212,,2206,control,5000,723,audio/723_CN14.wav,,220735,,80,audio-slider-response,14,
562,list1,,,,,,0.0-6.0-1.37,,,,,,,,,,,221237,,81,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.38,neutral,,2874,,4081,control,5000,246,audio/246_CN5.wav,,225318,,82,audio-slider-response,5,
562,list1,,,,,,0.0-6.0-1.38,,,,,,,,,,,225820,,83,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.39,neutral,,8549,,3338,control,5000,340,audio/340_CN15.wav,,229160,,84,audio-slider-response,15,
562,list1,,,,,,0.0-6.0-1.39,,,,,,,,,,,229660,,85,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.40,neutral,,7450,,2397,control,5000,723,audio/723_CN2.wav,,232057,,86,audio-slider-response,2,
562,list1,,,,,,0.0-6.0-1.40,,,,,,,,,,,232559,,87,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.41,neutral,,8780,,3100,mid,5000,340,audio/340_SN21_mid.wav,,235661,,88,audio-slider-response,21,
562,list1,,,,,,0.0-6.0-1.41,,,,,,,,,,,236163,,89,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.42,neutral,,6938,,2804,control,5000,723,audio/723_CN13.wav,,238966,,90,audio-slider-response,13,
562,list1,,,,,,0.0-6.0-1.42,,,,,,,,,,,239468,,91,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.43,neutral,,5629,,2519,control,5000,723,audio/723_CN15.wav,,241992,,92,audio-slider-response,15,
562,list1,,,,,,0.0-6.0-1.43,,,,,,,,,,,242493,,93,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.44,neutral,,1512,,4185,high,5000,246,audio/246_SN19_high.wav,,246680,,94,audio-slider-response,19,
562,list1,,,,,,0.0-6.0-1.44,,,,,,,,,,,247181,,95,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.45,neutral,,2686,,3193,control,5000,246,audio/246_CN13.wav,,250375,,96,audio-slider-response,13,
562,list1,,,,,,0.0-6.0-1.45,,,,,,,,,,,250876,,97,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.46,neutral,,7767,,2897,high,5000,340,audio/340_SN19_high.wav,,253775,,98,audio-slider-response,19,
562,list1,,,,,,0.0-6.0-1.46,,,,,,,,,,,254277,,99,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.47,neutral,,7182,,3518,control,5000,723,audio/723_CN9.wav,,257797,,100,audio-slider-response,9,
562,list1,,,,,,0.0-6.0-1.47,,,,,,,,,,,258298,,101,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.48,neutral,,3495,,3024,high,5000,246,audio/246_SN18_high.wav,,261320,,102,audio-slider-response,18,
562,list1,,,,,,0.0-6.0-1.48,,,,,,,,,,,261823,,103,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.49,neutral,,6936,,4063,low,5000,340,audio/340_SN3_low.wav,,265883,,104,audio-slider-response,3,
562,list1,,,,,,0.0-6.0-1.49,,,,,,,,,,,266386,,105,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.50,neutral,,5642,,3059,control,5000,723,audio/723_CN16.wav,,269444,,106,audio-slider-response,16,
562,list1,,,,,,0.0-6.0-1.50,,,,,,,,,,,269946,,107,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.51,neutral,,3026,,2955,control,5000,246,audio/246_CN15.wav,,272905,,108,audio-slider-response,15,
562,list1,,,,,,0.0-6.0-1.51,,,,,,,,,,,273408,,109,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.52,neutral,,1608,,3971,low,5000,246,audio/246_SN7_low.wav,,277377,,110,audio-slider-response,7,
562,list1,,,,,,0.0-6.0-1.52,,,,,,,,,,,277879,,111,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.53,neutral,,917,,3071,control,5000,246,audio/246_CN3.wav,,280950,,112,audio-slider-response,3,
562,list1,,,,,,0.0-6.0-1.53,,,,,,,,,,,281453,,113,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.54,neutral,,6912,,4690,high,5000,723,audio/723_SN19_high.wav,,286144,,114,audio-slider-response,19,
562,list1,,,,,,0.0-6.0-1.54,,,,,,,,,,,286645,,115,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.55,neutral,,6459,,3628,low,5000,723,audio/723_SN8_low.wav,,290275,,116,audio-slider-response,8,
562,list1,,,,,,0.0-6.0-1.55,,,,,,,,,,,290777,,117,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.56,neutral,,1706,,4127,high,5000,246,audio/246_SN5_high.wav,,294907,,118,audio-slider-response,5,
562,list1,,,,,,0.0-6.0-1.56,,,,,,,,,,,295408,,119,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.57,neutral,,8320,,2833,control,5000,340,audio/340_CN10.wav,,298243,,120,audio-slider-response,10,
562,list1,,,,,,0.0-6.0-1.57,,,,,,,,,,,298744,,121,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.58,neutral,,7886,,3454,control,5000,723,audio/723_CN4.wav,,302201,,122,audio-slider-response,4,
562,list1,,,,,,0.0-6.0-1.58,,,,,,,,,,,302703,,123,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.59,neutral,,6963,,3245,control,5000,340,audio/340_CN3.wav,,305949,,124,audio-slider-response,3,
562,list1,,,,,,0.0-6.0-1.59,,,,,,,,,,,306450,,125,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.60,neutral,,2445,,3106,control,5000,246,audio/246_CN2.wav,,309559,,126,audio-slider-response,2,
562,list1,,,,,,0.0-6.0-1.60,,,,,,,,,,,310062,,127,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.61,neutral,,2133,,3338,control,5000,246,audio/246_CN9.wav,,313403,,128,audio-slider-response,9,
562,list1,,,,,,0.0-6.0-1.61,,,,,,,,,,,313905,,129,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.62,neutral,,2857,,2688,mid,5000,246,audio/246_SN2_mid.wav,,316594,,130,audio-slider-response,2,
562,list1,,,,,,0.0-6.0-1.62,,,,,,,,,,,317096,,131,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.63,neutral,,7593,,2775,mid,5000,723,audio/723_SN21_mid.wav,,319871,,132,audio-slider-response,21,
562,list1,,,,,,0.0-6.0-1.63,,,,,,,,,,,320372,,133,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.64,neutral,,3630,,3077,control,5000,246,audio/246_CN18.wav,,323447,,134,audio-slider-response,18,
562,list1,,,,,,0.0-6.0-1.64,,,,,,,,,,,323949,,135,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.65,neutral,,8797,,3303,control,5000,723,audio/723_CN5.wav,,327251,,136,audio-slider-response,5,
562,list1,,,,,,0.0-6.0-1.65,,,,,,,,,,,327752,,137,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.66,neutral,,9034,,2943,low,5000,340,audio/340_SN7_low.wav,,330698,,138,audio-slider-response,7,
562,list1,,,,,,0.0-6.0-1.66,,,,,,,,,,,331200,,139,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.67,neutral,,2615,,4191,mid,5000,246,audio/246_SN17_mid.wav,,335390,,140,audio-slider-response,17,
562,list1,,,,,,0.0-6.0-1.67,,,,,,,,,,,335891,,141,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.68,neutral,,6151,,3529,control,5000,723,audio/723_CN21.wav,,339426,,142,audio-slider-response,21,
562,list1,,,,,,0.0-6.0-1.68,,,,,,,,,,,339928,,143,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.69,neutral,,4592,,4470,control,5000,340,audio/340_CN9.wav,,344402,,144,audio-slider-response,9,
562,list1,,,,,,0.0-6.0-1.69,,,,,,,,,,,344903,,145,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.70,neutral,,2890,,4011,control,5000,246,audio/246_CN21.wav,,348915,,146,audio-slider-response,21,
562,list1,,,,,,0.0-6.0-1.70,,,,,,,,,,,349417,,147,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.71,neutral,,6738,,3704,high,5000,340,audio/340_SN5_high.wav,,353124,,148,audio-slider-response,5,
562,list1,,,,,,0.0-6.0-1.71,,,,,,,,,,,353626,,149,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.72,neutral,,2758,,2548,mid,5000,246,audio/246_SN21_mid.wav,,356179,,150,audio-slider-response,21,
562,list1,,,,,,0.0-6.0-1.72,,,,,,,,,,,356681,,151,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.73,neutral,,5671,,2490,control,5000,340,audio/340_CN13.wav,,359177,,152,audio-slider-response,13,
562,list1,,,,,,0.0-6.0-1.73,,,,,,,,,,,359678,,153,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.74,neutral,,7043,,3651,control,5000,340,audio/340_CN18.wav,,363334,,154,audio-slider-response,18,
562,list1,,,,,,0.0-6.0-1.74,,,,,,,,,,,363836,,155,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.75,neutral,,8796,,3947,control,5000,723,audio/723_CN10.wav,,367780,,156,audio-slider-response,10,
562,list1,,,,,,0.0-6.0-1.75,,,,,,,,,,,368282,,157,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.76,neutral,,2289,,4859,control,5000,246,audio/246_CN17.wav,,373144,,158,audio-slider-response,17,
562,list1,,,,,,0.0-6.0-1.76,,,,,,,,,,,373646,,159,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.77,neutral,,9043,,3326,control,5000,340,audio/340_CN21.wav,,376976,,160,audio-slider-response,21,
562,list1,,,,,,0.0-6.0-1.77,,,,,,,,,,,377478,,161,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.78,neutral,,2644,,3152,high,5000,246,audio/246_SN20_high.wav,,380630,,162,audio-slider-response,20,
562,list1,,,,,,0.0-6.0-1.78,,,,,,,,,,,381131,,163,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.79,neutral,,7600,,2705,control,5000,340,audio/340_CN17.wav,,383839,,164,audio-slider-response,17,
562,list1,,,,,,0.0-6.0-1.79,,,,,,,,,,,384341,,165,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.80,neutral,,8372,,2664,mid,5000,340,audio/340_SN16_mid.wav,,387005,,166,audio-slider-response,16,
562,list1,,,,,,0.0-6.0-1.80,,,,,,,,,,,387507,,167,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.81,neutral,,8545,,2705,mid,5000,723,audio/723_SN10_mid.wav,,390217,,168,audio-slider-response,10,
562,list1,,,,,,0.0-6.0-1.81,,,,,,,,,,,390719,,169,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.82,neutral,,8926,,2194,control,5000,340,audio/340_CN4.wav,,392916,,170,audio-slider-response,4,
562,list1,,,,,,0.0-6.0-1.82,,,,,,,,,,,393418,,171,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.83,neutral,,7769,,4685,control,5000,340,audio/340_CN7.wav,,398105,,172,audio-slider-response,7,
562,list1,,,,,,0.0-6.0-1.83,,,,,,,,,,,398607,,173,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.84,neutral,,6557,,3379,low,5000,723,audio/723_SN14_low.wav,,401987,,174,audio-slider-response,14,
562,list1,,,,,,0.0-6.0-1.84,,,,,,,,,,,402488,,175,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.85,neutral,,7304,,3164,high,5000,723,audio/723_SN20_high.wav,,405657,,176,audio-slider-response,20,
562,list1,,,,,,0.0-6.0-1.85,,,,,,,,,,,406158,,177,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.86,neutral,,7296,,3077,control,5000,340,audio/340_CN16.wav,,409238,,178,audio-slider-response,16,
562,list1,,,,,,0.0-6.0-1.86,,,,,,,,,,,409740,,179,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.87,neutral,,2319,,4725,mid,5000,246,audio/246_SN10_mid.wav,,414467,,180,audio-slider-response,10,
562,list1,,,,,,0.0-6.0-1.87,,,,,,,,,,,414969,,181,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.88,neutral,,6848,,3843,low,5000,723,audio/723_SN3_low.wav,,418809,,182,audio-slider-response,3,
562,list1,,,,,,0.0-6.0-1.88,,,,,,,,,,,419311,,183,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.89,neutral,,5746,,4818,control,5000,340,audio/340_CN5.wav,,424129,,184,audio-slider-response,5,
562,list1,,,,,,0.0-6.0-1.89,,,,,,,,,,,424631,,185,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.90,neutral,,7185,,3111,control,5000,723,audio/723_CN19.wav,,427746,,186,audio-slider-response,19,
562,list1,,,,,,0.0-6.0-1.90,,,,,,,,,,,428249,,187,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.91,neutral,,6864,,4180,high,5000,723,audio/723_SN5_high.wav,,432428,,188,audio-slider-response,5,
562,list1,,,,,,0.0-6.0-1.91,,,,,,,,,,,432929,,189,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.92,neutral,,6870,,5834,control,5000,723,audio/723_CN7.wav,,438761,,190,audio-slider-response,7,
562,list1,,,,,,0.0-6.0-1.92,,,,,,,,,,,439263,,191,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.93,neutral,,5612,,4911,mid,5000,723,audio/723_SN2_mid.wav,,444176,,192,audio-slider-response,2,
562,list1,,,,,,0.0-6.0-1.93,,,,,,,,,,,444677,,193,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.94,neutral,,6631,,2972,mid,5000,723,audio/723_SN17_mid.wav,,447648,,194,audio-slider-response,17,
562,list1,,,,,,0.0-6.0-1.94,,,,,,,,,,,448150,,195,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.95,neutral,,1676,,2258,mid,5000,246,audio/246_SN16_mid.wav,,450409,,196,audio-slider-response,16,
562,list1,,,,,,0.0-6.0-1.95,,,,,,,,,,,450911,,197,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.96,neutral,,1022,,2792,high,5000,246,audio/246_SN15_high.wav,,453704,,198,audio-slider-response,15,
562,list1,,,,,,0.0-6.0-1.96,,,,,,,,,,,454206,,199,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.97,neutral,,1953,,2833,control,5000,246,audio/246_CN14.wav,,457039,,200,audio-slider-response,14,
562,list1,,,,,,0.0-6.0-1.97,,,,,,,,,,,457542,,201,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.98,neutral,,1497,,3280,control,5000,246,audio/246_CN8.wav,,460820,,202,audio-slider-response,8,
562,list1,,,,,,0.0-6.0-1.98,,,,,,,,,,,461322,,203,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.99,neutral,,7158,,3280,low,5000,723,audio/723_SN13_low.wav,,464603,,204,audio-slider-response,13,
562,list1,,,,,,0.0-6.0-1.99,,,,,,,,,,,465105,,205,html-keyboard-response,,
562,list1,,,,,,0.0-6.0-0.100,neutral,,5895,,4058,high,5000,723,audio/723_SN18_high.wav,,469165,,206,audio-slider-response,18,
